Sample,AIRSPEED  L,AIRSPEED R,ALTITUDE L,ALTITUDE R,AP ENGAGED,VHF3 PTT,VHF2 PTT,VHF1 PTT,TIME GMT (SS),TIME GMT (MM),TIME GMT (HH),TIME ELAPSED,TQ 2 ,TQ 1,ACCN NORM,ACCN LONG,ACCN LAT,FLAP POS,HEADING
,[ knots ],[ knots ],[ feet ],[ feet ],[  ],[  ],[  ],[  ],[ SS ],[ MM ],[ HH ],[  ],[ % ],[ % ],[ g ],[ g ],[ g ],[ deg ],[ deg ]
1,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,24,40,16,,3,3,1.0195,-0.0215,-0.0391,9.932,30.8
2,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3,3,0.9063,0.002,0.041,,30.8
3,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,490,3,3,0.9922,-0.0117,0.0156,9.932,31.2
4,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,3,0.9727,-0.0078,0.0059,,31.3
5,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,28,40,16,,2.5,3,0.9766,-0.0117,0,9.932,31.4
6,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9727,-0.0215,-0.0117,,31.6
7,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,494,2.5,2.5,0.9766,-0.0059,0,9.932,31.5
8,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9961,-0.0234,-0.0059,,31
9,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,32,40,16,,2.5,2.5,0.9844,-0.0273,0.0176,9.932,30.8
10,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0078,-0.0254,-0.043,,30.9
11,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,498,2.5,2.5,1,-0.0273,0.0293,9.932,31
12,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1,-0.0215,-0.0098,,31
13,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,36,40,16,,2.5,2.5,0.9648,-0.0254,0.0078,9.932,31
14,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9883,-0.0195,0.0371,,31
15,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,502,2.5,2.5,0.9805,-0.0293,0.0117,9.844,30.9
16,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9688,-0.0332,0.0215,,31
17,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,40,40,16,,2.5,2.5,0.9922,-0.0234,0.0117,9.932,30.9
18,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0039,-0.0215,-0.0078,,30.9
19,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,506,2.5,2.5,1.0117,-0.0234,0.0137,9.932,30.9
20,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1,-0.0195,0.0059,,31.1
21,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,44,40,16,,2.5,2.5,1.0273,-0.0195,0.0313,9.932,31.4
22,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9961,-0.0254,0.0215,,31.5
23,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,510,2.5,2.5,1.0117,-0.0254,0.0234,9.932,31.6
24,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0195,-0.0254,-0.0176,,31.4
25,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,48,40,16,,2.5,2.5,0.9648,-0.0234,0.0059,9.932,31.1
26,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9844,-0.0176,0.0059,,30.9
27,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,514,2.5,2.5,1.0078,-0.0313,-0.0195,9.844,30.8
28,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9727,-0.0234,-0.0137,,30.8
29,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,52,40,16,,2.5,2.5,0.9688,-0.0195,0,9.932,30.7
30,0,0,64,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9961,-0.0215,0.0098,,30.8
31,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,518,2.5,2.5,0.957,-0.0293,-0.0098,9.932,30.8
32,0,0,64,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9883,-0.0176,0.0098,,31
33,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,56,40,16,,2.5,2.5,1.0078,-0.0332,-0.0039,9.932,31.1
34,0,0,126,126,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3,2,0.9883,-0.0313,0.0156,,31.2
35,0,0,124,126,DISENGAGED,NOT ACTIVE,NOT ACTIVE,ACTIVE,,,,522,3,2,0.9922,-0.0332,0.0137,9.932,31.2
36,0,0,126,126,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3,2,1.0117,-0.0352,0,,31.2
37,0,0,124,126,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,0,41,16,,3,2,0.9922,-0.041,-0.0176,9.932,31.1
38,0,0,126,126,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3,2,0.9727,-0.0293,0.0176,,31.1
39,0,0,126,126,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,526,3,2,0.9961,-0.0293,-0.0078,9.932,31.1
40,0,0,124,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,ACTIVE,,,,,4,2.5,0.9805,-0.0391,-0.0332,,31
41,0,0,124,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,ACTIVE,4,41,16,,4,2.5,0.9727,-0.0391,0.0137,9.932,31.1
42,0,0,124,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,ACTIVE,,,,,4,2.5,0.9688,-0.0352,-0.0039,,31
43,0,0,124,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,530,3.5,2.5,1,-0.0352,0,9.932,31.1
44,0,0,124,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,1,-0.0273,-0.002,,31.1
45,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,8,41,16,,3.5,2.5,1.0117,-0.0352,0.0039,9.932,30.9
46,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,1.0078,-0.0352,0.0078,,30.8
47,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,ACTIVE,,,,534,3.5,2.5,0.9883,-0.0273,0.0039,9.932,30.5
48,0,0,124,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,ACTIVE,,,,,3.5,2.5,0.9844,-0.0332,0.0078,,30.3
49,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,12,41,16,,3.5,2.5,0.9805,-0.0273,0.0156,9.932,30.1
50,0,0,124,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,0.9883,-0.041,0.0215,,30.1
51,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,538,3.5,2.5,0.9883,-0.0332,0.0137,9.932,30.3
52,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,1.0352,-0.0449,0.0176,,30.8
53,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,16,41,16,,3.5,2.5,0.9922,-0.0293,-0.0078,9.932,31.2
54,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,1.0078,-0.0371,-0.0059,,31.3
55,0,0,122,122,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,542,3.5,2.5,0.9883,-0.0352,0,9.932,31.1
56,0,0,122,122,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,1.0078,-0.0332,0.002,,31
57,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,20,41,16,,3.5,2.5,0.9805,-0.0332,-0.0117,9.932,31.1
58,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,1,-0.0293,0.0117,,31.3
59,0,0,122,122,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,546,3.5,2.5,1.0273,-0.0352,-0.0039,9.932,31.5
60,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,1.0078,-0.0273,0.0332,,31.5
61,0,0,122,124,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,24,41,16,,3.5,2.5,1.0117,-0.0352,-0.0059,9.932,31.5
62,0,0,122,122,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.5,2.5,0.9883,-0.0293,0.0059,,31.5
