Sample,AIRSPEED  L,AIRSPEED R,ALTITUDE L,ALTITUDE R,AP ENGAGED,VHF3 PTT,VHF2 PTT,VHF1 PTT,TIME GMT (SS),TIME GMT (MM),TIME GMT (HH),TIME ELAPSED,TQ 2,TQ 1,ACCN NORM,ACCN LONG,ACCN LAT,FLAP POS,HEADING,AIRSPEED_AVG,ALTITUDE_AVG,TQ_AVG,VERTICAL_SPEED,VERTICAL_SPEED_SMOOTH,ACCEL_NORM_DIFF,ALTITUDE_AGL,PHASE
1,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,24.0,40.0,16.0,,3.0,3.0,1.0195,-0.0215,-0.0391,9.932,30.8,0.0,129.0,3.0,,,,33.0,GROUND
2,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,3.0,3.0,0.9063,0.002,0.041,,30.8,0.0,129.0,3.0,0.0,,-0.11320000000000008,33.0,GROUND
3,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,490.0,3.0,3.0,0.9922,-0.0117,0.0156,9.932,31.2,0.0,129.0,3.0,0.0,,0.08589999999999998,33.0,GROUND
4,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,3.0,0.9727,-0.0078,0.0059,,31.3,0.0,129.0,2.75,0.0,,-0.019499999999999962,33.0,GROUND
5,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,28.0,40.0,16.0,,2.5,3.0,0.9766,-0.0117,0.0,9.932,31.4,0.0,129.0,2.75,0.0,,0.0039000000000000146,33.0,GROUND
6,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9727,-0.0215,-0.0117,,31.6,0.0,128.0,2.5,-120.0,,-0.0039000000000000146,32.0,GROUND
7,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,494.0,2.5,2.5,0.9766,-0.0059,0.0,9.932,31.5,0.0,129.0,2.5,120.0,-12.0,0.0039000000000000146,33.0,GROUND
8,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9961,-0.0234,-0.0059,,31.0,0.0,128.0,2.5,-120.0,0.0,0.019499999999999962,32.0,GROUND
9,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,32.0,40.0,16.0,,2.5,2.5,0.9844,-0.0273,0.0176,9.932,30.8,0.0,129.0,2.5,120.0,0.0,-0.011699999999999933,33.0,GROUND
10,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0078,-0.0254,-0.043,,30.9,0.0,128.0,2.5,-120.0,0.0,0.023399999999999976,32.0,GROUND
11,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,498.0,2.5,2.5,1.0,-0.0273,0.0293,9.932,31.0,0.0,128.0,2.5,0.0,0.0,-0.007800000000000029,32.0,GROUND
12,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0,-0.0215,-0.0098,,31.0,0.0,129.0,2.5,120.0,12.0,0.0,33.0,GROUND
13,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,36.0,40.0,16.0,,2.5,2.5,0.9648,-0.0254,0.0078,9.932,31.0,0.0,129.0,2.5,0.0,-12.0,-0.03520000000000001,33.0,GROUND
14,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9883,-0.0195,0.0371,,31.0,0.0,129.0,2.5,0.0,12.0,0.023499999999999965,33.0,GROUND
15,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,502.0,2.5,2.5,0.9805,-0.0293,0.0117,9.844,30.9,0.0,129.0,2.5,0.0,0.0,-0.007799999999999918,33.0,GROUND
16,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9688,-0.0332,0.0215,,31.0,0.0,129.0,2.5,0.0,12.0,-0.011700000000000044,33.0,GROUND
17,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,40.0,40.0,16.0,,2.5,2.5,0.9922,-0.0234,0.0117,9.932,30.9,0.0,128.0,2.5,-120.0,12.0,0.023399999999999976,32.0,GROUND
18,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0039,-0.0215,-0.0078,,30.9,0.0,129.0,2.5,120.0,-12.0,0.011700000000000044,33.0,GROUND
19,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,506.0,2.5,2.5,1.0117,-0.0234,0.0137,9.932,30.9,0.0,129.0,2.5,0.0,-12.0,0.007800000000000029,33.0,GROUND
20,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0,-0.0195,0.0059,,31.1,0.0,129.0,2.5,0.0,-12.0,-0.011700000000000044,33.0,GROUND
21,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,44.0,40.0,16.0,,2.5,2.5,1.0273,-0.0195,0.0313,9.932,31.4,0.0,129.0,2.5,0.0,-12.0,0.027300000000000102,33.0,GROUND
22,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9961,-0.0254,0.0215,,31.5,0.0,128.0,2.5,-120.0,0.0,-0.031200000000000117,32.0,GROUND
23,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,510.0,2.5,2.5,1.0117,-0.0254,0.0234,9.932,31.6,0.0,128.0,2.5,0.0,12.0,0.015600000000000058,32.0,GROUND
24,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,1.0195,-0.0254,-0.0176,,31.4,0.0,128.0,2.5,0.0,-12.0,0.007800000000000029,32.0,GROUND
25,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,48.0,40.0,16.0,,2.5,2.5,0.9648,-0.0234,0.0059,9.932,31.1,0.0,128.0,2.5,0.0,-12.0,-0.05470000000000008,32.0,GROUND
26,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9844,-0.0176,0.0059,,30.9,0.0,129.0,2.5,120.0,-396.0,0.019600000000000062,33.0,GROUND
27,0,0,128,130,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,514.0,2.5,2.5,1.0078,-0.0313,-0.0195,9.844,30.8,0.0,129.0,2.5,0.0,-12.0,0.023399999999999976,33.0,GROUND
28,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,,,,,2.5,2.5,0.9727,-0.0234,-0.0137,,30.8,0.0,128.0,2.5,-120.0,-384.0,-0.03510000000000002,32.0,GROUND
29,0,0,128,128,DISENGAGED,NOT ACTIVE,NOT ACTIVE,NOT ACTIVE,52.0,40.0,16.0,,2.5,2.5,0.9688,-0.0195,0.0,9.932,30.7,0.0,128.0,2.5,0.0,0.0,-0.0039000000000000146,32.0,GROUND
