phase,start_sample,end_sample,duration_samples,duration_seconds,duration_minutes,start_altitude,end_altitude,min_altitude,max_altitude,start_airspeed,end_airspeed,max_airspeed,avg_vertical_speed
GROUND,1,167,167,83.5,1.3916666666666666,128,130,64,130,0,0,0,1.7888198757763976
TAKEOFF,168,199,32,16.0,0.26666666666666666,134,368,126,368,38,152,152,837.75
INITIAL_CLIMB,200,227,28,14.0,0.23333333333333334,394,1524,394,1524,151,165,165,4824.0
CLIMB,228,1179,952,476.0,7.933333333333334,1576,23984,1576,23984,168,199,212,2836.6638655462184
CRUISE,1180,2298,1119,559.5,9.325,23986,23990,23978,24004,199,197,212,0.15013404825737264
DESCENT,2299,2732,434,217.0,3.6166666666666667,23988,15816,15776,23988,197,185,226,-2257.4377880184334
CRUISE,2733,2741,9,4.5,0.075,15820,15822,15820,15828,185,181,185,-13.333333333333334
DESCENT,2742,3245,504,252.0,4.2,15816,8046,8046,15816,181,187,198,-1848.7619047619048
APPROACH,3246,3405,160,80.0,1.3333333333333333,8026,6038,6038,8026,187,120,187,-1508.7
FINAL_APPROACH,3406,3529,124,62.0,1.0333333333333334,6026,5042,5030,6026,120,31,122,-970.0645161290323
GROUND,3530,3724,195,97.5,1.625,5040,5044,5034,5046,0,0,0,2.136125654450262
